OrderID,Year,Region,Product,Category,Quantity,Price,Sales,Profit
1001,2016,East,Laptop,Electronics,2,60000,120000,20000
1002,2017,West,Phone,Electronics,5,20000,100000,15000
1003,2018,North,Tablet,Electronics,3,30000,90000,12000
1004,2019,South,Laptop,Electronics,1,65000,65000,10000
1005,2020,East,Phone,Electronics,4,22000,88000,13000
1006,2021,West,Tablet,Electronics,2,31000,62000,11000
1007,2022,North,Monitor,Electronics,3,15000,45000,8000
1008,2023,South,Headphones,Accessories,6,5000,30000,6000
1009,2024,East,Laptop,Electronics,1,70000,70000,12000
1010,2025,West,Phone,Electronics,3,21000,63000,9000
1011,2026,North,Tablet,Electronics,2,28000,56000,7000
1012,2016,South,Monitor,Electronics,4,14000,56000,9500
1013,2017,East,Headphones,Accessories,5,4500,22500,5000
1014,2018,West,Laptop,Electronics,2,62000,124000,21000
1015,2019,North,Phone,Electronics,6,19000,114000,18000
1016,2020,South,Tablet,Electronics,3,32000,96000,14000
1017,2021,East,Monitor,Electronics,2,16000,32000,6000
1018,2022,West,Headphones,Accessories,7,4800,33600,5500
1019,2023,North,Laptop,Electronics,1,68000,68000,11000
1020,2024,South,Phone,Electronics,4,23000,92000,15000
1021,2025,East,Tablet,Electronics,2,30000,60000,8000
1022,2026,West,Monitor,Electronics,3,15500,46500,7500
1023,2016,North,Headphones,Accessories,5,5200,26000,4500
1024,2017,South,Laptop,Electronics,2,64000,128000,22000
1025,2018,East,Phone,Electronics,3,21000,63000,10000
1026,2019,West,Tablet,Electronics,4,29000,116000,16000
1027,2020,North,Monitor,Electronics,2,15000,30000,5000
1028,2021,South,Headphones,Accessories,6,4700,28200,4800
1029,2022,East,Laptop,Electronics,1,72000,72000,13000
1030,2023,West,Phone,Electronics,5,20000,100000,17000
1031,2024,North,Tablet,Electronics,3,31000,93000,12000
1032,2025,South,Monitor,Electronics,4,14500,58000,9000
1033,2026,East,Headphones,Accessories,5,5000,25000,6000
1034,2016,West,Laptop,Electronics,2,63000,126000,20000
1035,2017,North,Phone,Electronics,4,22000,88000,14000
1036,2018,South,Tablet,Electronics,3,30000,90000,13000
1037,2019,East,Monitor,Electronics,2,15500,31000,5000
1038,2020,West,Headphones,Accessories,6,4900,29400,5200
1039,2021,North,Laptop,Electronics,1,69000,69000,12000
1040,2022,South,Phone,Electronics,5,21000,105000,16000
1041,2023,East,Tablet,Electronics,2,28000,56000,7000
1042,2024,West,Monitor,Electronics,3,15000,45000,8000
1043,2025,North,Headphones,Accessories,4,5300,21200,4000
1044,2026,South,Laptop,Electronics,2,66000,132000,23000
1045,2016,East,Phone,Electronics,3,20000,60000,9000
1046,2017,West,Tablet,Electronics,4,31000,124000,17000
1047,2018,North,Monitor,Electronics,2,16000,32000,6000
1048,2019,South,Headphones,Accessories,5,4800,24000,4500
1049,2020,East,Laptop,Electronics,1,71000,71000,12000
1050,2021,West,Phone,Electronics,4,22000,88000,15000
