Height,Weight
188,84.2
178,76.5
164,55.1
157,47.4
170,76.5
188,98.8
168,67.4
172,80.0
160,62.9
160,54.8
173,75.9
185,97.3
189,88.7
173,85.5
152,31.0
171,77.6
151,51.7
173,70.6
179,79.7
187,71.1
151,49.2
170,72.9
182,93.8
161,56.9
171,64.5
174,70.0
176,83.3
177,79.6
165,60.8
164,68.1
152,52.8
186,93.7
156,50.4
170,67.4
158,54.9
188,76.3
167,69.4
153,55.1
174,74.0
163,61.1
158,46.7
175,71.6
151,48.3
169,62.6
177,75.7
156,59.2
157,72.1
184,85.4
163,65.1
166,65.4
185,69.6
189,88.8
153,53.5
151,70.7
155,53.5
153,55.4
178,77.7
167,57.7
175,84.1
183,89.0
159,65.3
185,77.7
163,74.2
180,68.8
164,68.7
157,74.5
163,55.1
172,67.5
189,89.8
170,66.0
165,52.6
167,67.5
173,64.5
175,78.8
174,66.6
190,102.4
178,71.7
164,61.4
150,56.5
174,64.2
156,57.8
158,68.5
173,60.1
150,51.5
157,59.1
173,79.3
160,50.1
166,55.4
157,61.2
184,86.4
184,86.0
182,84.8
154,48.6
188,89.9
190,92.3
177,71.3
156,70.9
158,61.8
157,47.5
161,66.3
